Author
Mark P. O. Morford
Robert J. Lenardon
Richard Bruce Wright
Carlo D'Este
David N. Weiss
Sally Beauman
Paul Solotaroff
Peter Singer
W. Y. Evans-Wentz
Lama Anagarika Govinda
Sir John
Frank Godwin
Henrik Ibsen
James McFarlane
Jens
Margo Culley
D. C. R. A. Goonetilleke
E.M. Forster
John F. McGrady
Pat Conroy
Norah Lofts
Suzanne Strempek Shea
Robb Forman Dew
Eric Nylund
Michael D. Warden
Thomas J. Stanley
William D. Danko
Rosellen Brown
R. K. Narayan
George Mackay Brown
Spike Milligan
Thomas Paine
Henry Collins
John N. Davie
David Skilton
A. Alvarez
A. J. Hill
Sharon Sala
Peggy Moreland
Paula Detmer Riggs
Guideposts Magazine
Marie Watts
Joy Darien
Bill Richardson
Jill Conner Browne
Katherine O'Neal
Sherwood Anderson
Amy Paulsen
(None)
Julia Alvarez
Christopher Reich
Mary Cantwell
Stefan Fatsis
Michael Kinsley
Hentoff
Debbie Dadey
Marcia T. Jones
Dr. Charles F. Stanley
Rick Carson
Eth Clifford
Caroline B. Cooney
Niccolo Ammaniti
Jonathan Hunt
Walter Dean Myers
Chris Fabry
Susan Richards Shreve
James Marshall
Edith Nesbit
Robert L. Veninga
Janis Arnold
Cindy Bonner
Hannah Crafts
Henry Louis Gates Jr.
Jim Grimsley
Robert Siegel
Onion Staff
Richard Scarry
Mickey Spillane
John Knowles
David Halberstam
Will Ferguson
Ian Ferguson
Carol Off
George Gibian
Louise Maude
Aylmer Maud
Anthony Lane
John Kennedy Toole
Walker Percy
Richard Blow
Lisa Beamer
Ken Abraham
David Suzuki
John Connelly
J.M. Morris
Sara Lewis
Donada Peters
Renee
Mickey Zucker Reichert
Lee Hogan
Judith Miller
Stephen Engelberg
William Broad
T. R. Pearson
Bill Schultheis
Christa Worthington
Richard Bachman
Wilbur Witt
Iain Lawrence
Peter Wright
Mary Stewart
Gore Vidal
Molly Cochran
Warren Murphy
Jim Collins
Robert Pirsig
Troon McAllister
China Mieville
Chang-rae Lee
Tom Bradby
Jimmy Breslin
Adam Haslett
Victoria Price
Lloyd Alexander
Annelie Ortmanns
D. E. Rogers
Douglas Robinson
Millenia Black
Laurie Fox
Wendy Northcutt
Martin Mull
Allen Rucker
Rubin Carter
Peter Carey
Cinammon Burke
Phoebe Conn
Rosalind Laker
Mary McMullen
Anne L. Squire-Buresh
Merrill Miller
Nancy Thayer
Hunter S. Thompson
Karen Scalf Linamen
Camille Cauti
Luther Blissett
Helga Schneider
Shaun Whiteside
Richard Craze
Javier Cercas
Elisabeth Beyer
Aleksandar Grujicic
Charlotte A. Alexander
Delta Burke
Alexis Lipsitz
Michael Johnston
Christopher Pike
Robert Simpson
Michael A. Martin
Andy Mangels
Heather Jarman
David R. George III
Gabrielle De Cuir
Ray Garton
Judith Reeves-Stevens
Garfield Ree
Judith Reeves-Steven
Garfield Reev
Francis Scott Fitzgerald
Jacques Tournier
Kate McMullan
Jan Burke
Ed Laing
Michael A. Kahn
Christine Green
Lewis Nordan
William Diehl
Julia Fenton
Vicki A. Brady
Linda Dobson
Bob Barnes
Marvin Allen
Douglas Hobbie
Gower
Antony Sher
Monika Elwenspoek
Juan Ramon Jimenez
Jack Welch
John A. Byrne
Conari Press
Dawna Markova
Andre Dubus III
Ria Fehlau
New Line Productions
Tom Shales
James Andrew Miller
Charlotte Hughes
Robert Goldsborough
Jennifer Blake
ANNA PAVORD
S.D. Perry
John Straley
Jeff Rovin
Julia Bell
Paul Magrs
Andrew Motion
E. A. Ellis
Robert Munsch
Sheila McGraw
Robin Quivers
Norman Maclean
S. E. Hinton
John Gunther
Richard Preston
Lenny Flank
Joy Adamson
George Page
Naguib Mahfouz
Tagreid Abu-Hassabo
Wei Hui
Catherine Landis
Amanda Eyre Ward
Rachel Carson
Linda Lear
Tony Hawks
Lindsay Clarke
Karin McQuillan
Amy Thomson
Laura Joh Rowland
Marjorie B. Kellogg
Marjorie Bradley Kellogg
Jody Lee
Kage Baker
David Clement-Davies
Rachel Pollack
Emily Jenkins
Mirika Mayo Cornelius
Victor H. Krulak
Charles Tomlinson
Mary Ann Lamanna
Agnes Riedmann
Michael Drosnin
John Searles
Carol Grace
Tom Stone
Sheri Reynolds
Bonnie Bluh
Gloria Murphy
Pat Shipman
Donald Serrell Thomas
Benedict Freedman
Nancy Freedman
Elizabeth Berg
Roxana Robinson
Willard Scott
Bill Crider
Laurie Graham
Anne D. LeClaire
Parnell Hall
Catherine Anderson
Nikki Rivers
Kathleen O'Reilly
Judy Christenberry
Muriel Jensen
Tina Leonard
Emma Craig
Nancy Pearl
Tim Winton
Jim Fergus
Randall Robinson
Jim Marrs
Edwin A. Abbott
William Sydney Porter
Shane Weller
Michael Henry Heim
Wayne Weible
T.C. Boyle
Camilo Jose Cela
Anthony Kerrigan
Jeremy Harwood
Simon Fielding
Gillian Emerson-Robe
Jim Underwood
Pearl Cleage
Marlo Morgan
Gary Meier
Gloria Meier
Ernest Hillen
Deirdre Madden
Roger Hargreaves
Stella Braam
Hartmut Bieg
Barbara Pierce
Dinah Mccall
Bertrice Small
Kathy Love
Lisa Plumley
Cait London
Lauren Baratz-Logsted
Annie Gottlieb
Slobodan D. Pesic
Vicki Lewis Thompson
Tony Johnston
Rene Barjavel
Ken Munro
Liz Smith Parkhurst
Rod Lorenz
Thomas King
Hansj�rg Schneider
Botho Strau�
Erika Burkart
Freya Von Moltke
Reinhard Delau
Hans-Ludwig B�hme
Christina Viragh
Jacques Wirz
Michael Bayer
Norber
Linda Brower Meeks
Philip Heit
Randy M. Page
Paul Lukas
Fritjof Capra
Suanne Kelman
John Seabrook
Lionel Tiger
Hal Niedzviecki
Ernest Becker
Stig Bjorkman
Tim Burton
Steve Moss
Tim Lott
James M. Cain
Dashiell Hammett
Benjamin Anastas
Jose Saramago
Giovanni Pontiero
Jacob Grimm
Wilhelm Grimm
Jack Zipes
Arthur Nersesian
Walter Kirn
Roxanne Henke
Wendy Corsi Staub
Joshua Piven
Hugh Ross Williamson
Cindy Ribarich
Suzanne Delzio
Bill Lessard
Steve Baldwin
Harold Schechter
Lesley Adkins
Roy Adkins
Ian Gibson
Jan Bondeson
Richard M. Stallman
Lawrence Lessig
Joshua Gay
Lau
Vaughn Bullard
Kevin T. Smith
Michael C. Daconta
Mary Gentle
Philip Hazel
Richard Bird
Tim O'Brien
Stephen Williams
Noel Perrin
Marjory Wunsch
Natalie Angier
Tim Folger
Anthony Everitt
Chris Kreski
Michael J. Nelson
Stephen Kendrick
Dave Mckean
Randall Kennedy
Rochelle Morton
Jeff Kelly
Thomas Lynch
Larry L. King
Ben Macintyre
David M. Friedman
Cheryl Rilly
David Hagberg
Eugenia Price
Edward McNall Burns
Standish Meacham
Robert E. Ler
Steven Alter
Xavier Patier
Jacques Serguine
Helge Schneider
Don Roberts
Michael Mojher
Anita Desai
Gladys Taylor
Jeff Burgess
W. P. Kinsella
Tor Seidler
Vivian Vande Velde
Gail Bowen
Franz Kafka
Sir Richard Francis Burton
George R.R. Martin
Kathe Koja
Doug Lansky
Caroline Rivolier
S. White
Judith Krantz
Richard P. Henrick
Johanna Kingsley
Laurie Notaro
Taylor Caldwell
Julia Cameron
Mark Griffin
Theron Walker
Elizabeth Powers
Amy Mandelker
Louise Perrotta
Gina Fontana
Ferdinand G. Mahfood
Sue Ellen Cooper
Andrea Reekstin
Richard Rohr
Joseph Martos
Jamaica Kincaid
Paul Fleischman
Kathryn Jacobi
Margot Livesey
Cathi Hanauer
Margaret Moorman
Monica Ali
Karen Joy Fowler
Micah Sparks
Lolly Winston
Susan Minot
Charlotte Vale Allen
Cathy Kelly
Eduardo Galeano
Janice Law
Judith Hawkes
James Jennings
Jean Baudrillard
Julia Witwer
Alvin Schwartz
Stephen Gammell
Melvin Burgess
Neale Donald Walsch
Janet Peery
Robert Alexander
Antwone Q. Fisher
Mim E. Rivas
Fred Chappell
Frances Park
Caroline Gordon
Timothy Zahn
O'Cork
Larry Kirk
Gerald Scarfe
Steve Bell
Mark Bryant
Toni Goffe
Henrietta Stickland
Milan Rai
Mandy Wagstaff
Jean Liedloff
Will Self
John Lanchester
Morihei Ueshiba
John Stevens
Steven Pressfield
B.B. Hiller
Lorrie Moore
Ken  Follett
Bruce H. Wilkinson
Marele Day
Robin Klein
David Finn
Cafi Cohen
Dorothy Moore
Raymond Moore
Lucy Jo Palladino
Daniel Silva
Robert Adams
Ken Kelly
Harry Turtledove
Robert Harris
Walter Tevis
Walter Wangerin Jr.
Nevil Shute
Conrad Black
Brian Aldiss
Jennifer Niven
Stephen Hawking
Brian MacArthur
Richard A. Knaak
Joseph Stanislaw
Herman Wouk
Daniel Hood
Gunter B�hmer
Britta Herz
Thomas Finn
Karl-Heinz Witzko
Peter F. Hamilton
Irene M. Pascoe
Amy Goldman Koss
Stephanie Barron
William W. Hewitt
Mircea Eliade
John Wyndham
William Boyd
John M. Cohen
Mark J. Cohen
D. G. A. Whitten
W.G.
W.G. Moore Moore
Friedrich Nietzsche
R. J. Hollingdale
A.R.R.R. Roberts
H Leighton Steward
Michael J.H. Taylor
David Mondey
Monique Roffey
Peter Bleksley
S.Anderson Black
Parragon
Better Homes &amp
Gardens
Joan Lewis
Lynette Chil
Brian Cole
D. Griffith
Tom Holland
Bea Reiter
Albert Bichler
Horst Herzig
Tina Herzig
Jill Remains
Natalie Zemon Davis
Nora Ephron
Illiad
Bob Herbstman
Illiad" Frazer J.D.
Nancy Friday
Amanda Quick
Gloria Steinem
Lisa Carey
Joanne Rock
Andy Rathbone
William J. Bennett
Richard Parrish
Trevanian
Alan Bullock
Mewa Ramgobin
Lou Dubose
Legs McNeil
Gillian McCain
Stephen Baker
Jackie Geyer
Lynne Withey
Flavius Josephus
Betty Radice
Julian Barnes
Kurt Wagenseil
Thucydides
Steven Lattimore
Joe Klein
Joan Didion
Todd Gitlin
Steven Fraser
Neil Postman
Pat Robertson
Firoozeh Dumas
Rosamunde Pilcher
Cathleen Schine
Francine Prose
William Dietrich
Ruby Jean Jensen
John Derbyshire
Thich Nhat Hanh
Peter Levitt
Jerry Spinelli
Jeffrey Hudson
Barbara Seranella
Alice Blanchard
Tracey West
Margaret George
Louis Begley
Elizabeth Von Arnim
Marilyn Wallace
Cameron Tuttle
Susannah Bettag
T. Jefferson Parker
Robert Morgan
Paul Kemprecos
Janet Groene
Gordon Groene
Eric Garcia
Stuart Pawson
Robert J. Ringer
Gary Braver
Stephen C. George
Kenneth Winston Caine
Men's Heal
Steve Ettlinger
James S Thayer
Kristiana Gregory
Abraham Verghese
Robin Jarvis
Colin Dann
Ursula Moray Williams
Sarah Mlynowski
Michael Bergin
Karen Templeton
Linda Lenhoff
Claire Cook
Lauren Weisberger
John Gray
Silvana Klein
Dirk Van Gunsteren
Susan Sontag
Reinhard Kaiser
Peter K. Wehrli
Fritz Krenn
Tom Shachtman
Waris Dirie
Cathleen Miller
Antoine Bello
Claudia Kalscheuer
Werner Burckhardt
Verena Koch
Heike Gei�ler
Klaas Huizing
Ingrid Noll
J�rgen Abel
Daniela Huzly
Gregor Gysi
Celia Fremlin
Marcus Geiss And Henning Stegelmann
Risa Mickenberg
Joanne Dugan
Brian
Paul Zindel
Alice Miller
Philip Zaleski
Paul Kaufman
Dennis Covington
Guido Eckert
Siri Hustvedt
Georges Montforez
Antoine De Saint-Exup�ry
Higgins Clark
Christopher Wallace
Kunstmuseum Basel
Rolf Fjelde
Jerri Corgiat
John Dalton
Richard Matheson
Marjorie Hudson
M. Nelson Chunder
Karanjit Siyan
Chris Hare
Wendell Odom
Frommer
Mike Lupica
Ilya Ilf
Eugene Petrov
Evgenii Petrov
Edward Bunker
Yaakov Shabtai
Ricarda Junge
Bo Hampton
Mark Kneece
Andrew H. Vachss
Catherine Millet
Adriana Hunter
Albert Schwarzenbach
Anne Fadiman
Christopher Frayling
Edgar Allan Poe
Groff Conklin
Irv Docktor
Calvin Tomkins
Betty Edwards
Bernard P. Chamberlain
Lola Lemire Tostevin
Nigel Tranter
Gordon R. Dickson
Joy Wilt Berry
Laurence Shames
Michele Dunaway
Merline Lovelace
Heather Macallister
Debra Dixon
Debra Carroll
Mary Kirk
Joey Light
Kylie Brant
Laura Gordon
Emma Goldrick
Goldrick
Tracy Hughes
Laurel Collins
Diana Hall
Kara Lennox
Rita Herron
Steve Martini
Nina Beaumont
Lisa Bingham
Eve Gladstone
Barbara Boswell
Coughlin
Kathleen Eagle
Andrea Edwards
Mindy Neff
Rita Clay Estrada
Brashear
Dawson
Joyce Carol Oates
Darin Strauss
Richard Bernstein
Thomas Hine
Jessica Hagedorn
Philip K. Dike
Gwen Lee
Doris Elaine Sauter
Tim Po
Bernard E. Rollin
Helen Stauffer Winter
Maeve Brennan
Mary D. Robertson
Cherrie Moraga
Andrea Carlisle
Mary Narkiewicz
Madonna Kolbenschlag
Mimi Luebbermann
Arlene S. Skolnick
Jerome H. Skolnick
Bella Abzug
Susan Brownmiller
Anne Wilson Schaef
Charles M. Tatum
Nicole Blackman
Robin Bernstien
Seth Clark Silberman
Ruth Baetz
Amanda Davis
Jyl Lynn Felman
Cynthia Kadohata
Michael E. Gerber
John Eldredge
Padriac Colum
Eileen Campbell
Thomas R. P. Mielke
Luciano De Crescenzo
Linde Birk
Morton Rhue
A. A. Attanasio
Patricia Hedges
Patricia H. Hedges
John Andrew Storey
William Barrett
Amber K
Mary Daheim
Holly-Jane Rahlens
Michael Dibdin
Anthony Burgess
Fyodor Dostoevsky
Constance Garnett
Joseph Frank
James Ryan
Chico Buarque
Alison Entrekin
Gregory Rabassa
Elizabeth Fishel
Janette Turner Hospital
Miguel Hernandez
Jody Shields
Alex Capus
Stephen M. Wylen
Bernhard W. Anderson
Katheryn Pfisterer Darr
Shmuley Boteach
Herman Melville
Tom Quirk
James Preston Girard
Michael Horowitz
Vicki Marshall
Sydne Heather Schinkel
Thomas Charles Schinkel
Melanie Rawn
Jennifer Roberson
Kate Elliott
Orhan Pamuk
Erdag Goknar
Goldberry Long
Kathleen Norris
Ashley Warlick
Gordon S. Haight
Dinah Birch
Kitty Ray
Geraldine Brooks
P. C. Cast
KARLA /LANSDOWNE/SAVE HOCKER
Judith A. Lansdowne
H
Sarah Gallick
Maggie Haberman
Jeane MacIntosh
P. B. Ryan
Maddy Hunter
Sherrilyn Kenyon
Jill Churchill
Jenna McKnight
Katie MacAlister
Evelyn Vaughn
T.R. Reid
Kinley MacGregor
Julia Quinn
Stephen A. Bly
Warren Dunford
Albert Murray
Elizabeth McCracken
Nadine Gordimer
E. M. Forster
John Hersey
Kate Flint
Charlotte Bront�
Michael Mason
Thomas L. Long
Theresa Nelson
William Taylor
Krandall Kraus
Barrett Tillman
Joyce M. Roche
Marie Rodriguez
Phyllis Schneider
Rita Ciresi
Leonard B. Scott
Patricia Nell Warren
Anthony Bonner
Jess Stearn
Jean-Christophe Rufin
Torey Hayden
Arthur Conan Doyle
Samuel R. Delany
Stephen D. Allen
Bob Davis
Shirley
Alesia Holliday
Beatles
Richard N. Patterson
Richard L. Polese
Peace Pilgrim
Barbara Savage
Loren Eiseley
Gale E. Christianson
James Bannon
James O'Reilly
Tara Austen Weaver
Anne Calcagno
Lesley Downer
David Gates
Thomas Scoville
W. Somerset Maugham
Somerset Maugham
T.Coraghessan Boyle
Nancy Alberts
Karen Jerome
Valerie Carnes
Bruno Maddox
Sandra Magsamen
Robert Claiborne
Hugh Prather
Gerald Jampolsky
Alice Randall
Thomas Tryon
L.P. Hartley
Peter Quennell
Gertrud Muel Nelson
Michael Kunze
John G. Fuller
Charles Barry Townsend
Barbara Hoberman Levine
Jim Dreaver
Barbara Graham
Victoria Roberts
Kevin Leman
Lydia Adamson
Margot Adler
Terence Hanbury White
Katherine Mosby
Philippe Djian
Kara Dalkey
Kirsty Gunn
Edward Gorey
Mick Middles
Melvyn Bragg
Thomas Mann
John E. Woods
Michael Frayn
Steve Jackson
Ian Livingstone
Will Randall
James Hawes
William Makepeace Thackeray
Thomas De Quincey
Alan Russell
Douglas Lindsay
Kathryn Wesley
Richard L. Zettler
Lee Horne
Alexandra Fuller
Bill Cleaver
Vera Cleaver
Christopher Wright
Linda Bolton
Dana Facaros
Thomas Parsons
Lily Tuck
Harold Tarrant
Hugh Tredennic
Frans Haacken
Eliyahu M. Goldratt
Jeff Cox
Bettine Von Arnim
Till Raether
Erich K�stner
Jay Parini
Alix Kates Shulman
Emily Carmichael
Phyllis A. Whitney
Michael Wallner
Corina Tettinger
David Congalton
Mary Alice Monroe
Donald E. Knuth
Graham Salisbury
Martine Bates
Sarah Masters Buckey
Robert M. Pirsig
Jack Henry Abbott
Michio Kaku
Robert O'Keefe
Zolar
Elizabeth Clare Prophet
Patricia R. Spadaro
Lewis Richmond
Eckhart Tolle
Erich Von Daniken
Genevieve L. Paulson
Jane Hope
Borin Van Loon
Rev Ray T. Malbrough
Israel Regardie
Melvin Morse
Father Oscar Lukefahr CM
R. J. Stewart
Brother Lawrence
Phyllis Galde
Jan Fries
Denise Linn
Jack Hamm
Kate Horsley
Gary Quinn
Jonathan Dee
Marian Green
Horik Svensson
Llewellyn
Donald Michael Kraig
Andrew McGahan
Kay Redfield Jamison
Guy Damian-Knight
Edward Shorter
Elliot Perlman
Jim Schutze
Michael Dobbs
Geoffrey Chaucer - Edited By A. C. Cawley
Minfong Ho
Nancy Madore
Ursula K Le Guin
Virgil
David West
Jean Rhys
Whitley Strieber
Karen Harper
Amy R. Kaplan
Michael Keller
Jimmy Thapa
Raymond Buckland
Anna Maxted
Jon Hassler
Shannon Drake
Robert Kornwise
Linda Greenlaw
Sheldon Vanauken
Susan Polis Schutz
Stephen Schutz
Braun Lilian Jackson
Alison Fraser
Robyn Donald
N. Richard Nash
Wayne W Dyer
Ford Madox Ford
Brandon
Jay Brandon
Will Hobbs
Witi Tame Ihimaera
Luis Sep�lveda
Fran�ois Masp�ro
Landoll Inc.
Alexandra Stoddard
Marc Romano
Margot Anand
Scholastic Books
Ellen Miles
Ben M. Baglio
Melinda Blanchard
Robert Blanchard
Anthony Gottlieb
Richard Littlejohn
Kimeron N. Hardin
Marc-Edouard Nabe
John Lantigua
Ralph Waldo Emerson
Robert Slater
John Gardner
Fred Vargas
Irene B. Brand
Stanley Appelbaum
Adam Barrow
Andrews
Andrew Calcutt
Alex Flinn
Ian Small
Michael Bernstein
Scott Robertson
Nick Danziger
Mary Kay Ash
Marguerite Kelly
Elia Parsons
Rebecca Hirsh
Judith Zimmer
Durell Godfrey
Patricia A. McKillip
Heinrich Boll
Christel Rost
Damien Simonis
Daniel Robinson
Tony Wheeler
Cyril Collard
Brigitte Chabrol
Val�rie Malfoy
Jean-No�l Schifano
Magnan
Eudora Welty
Vladimir Radunsky
Bagram Ibatoulline
Shelley Moore Thomas
Jennifer Plecas
Chris Hedges
Julien Gracq
Jerome Klapka Jerome
F�dor Dosto�evski
Alain Besan�on
Albert Mousset
Montherlant
Pam Frankau
Richard Firstman
Jamie Talan
Harold Robbins
Sam A. Donaldson Jr.
Christine McGuire
Carla Norton
Allan Eckert
Jack Womack
Pierre Pelot
Anne Damour
St�fan Zweig
Dominique Autrand
Clifford D. Simak
Jerome K. Jerome
Georges Simenon
Rose-Marie Makino-Fayolle
L. Sprague De Camp
Lin Carter
August William Derleth
Sr. Mary Jean Dorcy
J.N. Williamson
Gary Null
Sharan Newman
A E Van Vogt
Brady
Earl B. McElfresh
Adam Braver
Piers Paul Read
Sydney Omarr
Carl Payne Tobey
Leonard Barden
Charles H. Goren
Carole Bellacera
Philipp Vandenberg
Jeffery Hudson
Birgit Sch�nberger
Zo� Jenny
A. L. Haskett
Mary Jane Maffini
Judith Arnold
Barbara Keiler
Christopher Paul Curtis
Karin Fossum
Joseph Garcia
Burton White
Yitta Halberstam
Judith Leventhal
Bernie S. Siegel
Matt Ridley
Thomas K. Landauer
Syed Hussein Alatas
Jennifer Worick
Kerry Colburn
Anne Higgins
Millie Stamm
Susan Ostrov Weisser
Millie Criswell
Heather McNamara
Lois Keith
E.D. Hirsch Jr.
Mark Fuhrman
N Collins
Alan Titchmarsh
Milligan
Stephen Fry
Jonathan Miller
Dawna Walter
Mark Franks
Betty Bethards
Jaclyn Grace
James V. Hart
Alan Aldrich
D H Lawrence
Fiona Walker
Lance Armstrong
Sally Jenkins
Pam Young
Peggy Jones
Sena Jeter Naslund
Roy Blount Jr.
Edward Abbey
Redmond O'Hanlon
Evan Harris
Shang Chun Shu Cun
Matthew Bunson
Page Bryant
Dennis Wholey
Jerome Charyn
Barry Sears
Bill Lawren
Christian De La Huerta
Matthew Fox
Jim Morrison
Christine Wiltz
Michael Thomas Ford
Tommy Tune
Stuart Smalley
Martin
Ken Sprague
Elan Golomb
Alice A. Bailey
Susan Forward
Jim Davis
Anne Fine
Jean Booker
Alice Mary Connally Fisk
Michael Pollan
Phyllis Richman
Valerie Wolzien
Bobbie Hinman
Millie Snyder
Beverly West
Nancy Peske
Jean Ure
Karin Yapalater
Nancy Star
JoAnna Carl
Laura Van Wormer
Ginna Gray
Helen R Myers
Maira Kalman
Tibor Kalman
Steven Heller
Frank O. Braynard
Todd Strasser
Pamela E. Apkarian-Russell
Michael Wallis
Suzanne Wallis
Alex Kotlowitz
Michael Savage
Candice Bergen
George Mair
G. Garfield Crimmins
Ann Linnea
Barbara Sher
Barbara Smith
Fritz Eichenberg
Phoebe McPhee
Stephen Fuentes
Melanie Munnell
Wilson Rawls
Margaret Peterson Haddix
Willo Davis Roberts
Barry Denenberg
Gary A. Lippincott
Tom Brokaw
J. Lawler
Fred Mustard Stewart
Phil McGraw
C. M. Woodhouse
Rudolfo Anaya
Anne Barone
V. C. Andrews
John Forbes
Kay Allenbaugh
Sonja Massie
Susan Campbell Bartoletti
Jeffrey D. Greene
Stuart Friedman
Joe Kraynak
Cassandra King
Jodi Picoult
Stephen L. Carter
Anchee Min
Jillian Medoff
Lisa Gornick
Betsy Carter
Kyle Mills
Martin J. Smith
Thomas French
Nancy Taylor Rosenberg
Shelby Yastrow
Stanley Pottinger
Amanda Ashley
David Wiltse
Sonia Icilyn
McCoy Judi
Charlaine Harris
Suzanne Forster
Alton Gansky
Philip Kerr
Stef Ann Holm
Julian Symons
Better Homes And Gardens Books
Linda Hallam
Swami Prabhavananda
Frederick Manchester
G &amp
R Publishing
Claire Folkard
Abby Kanter
Raymond Pierson
Phil Gross
Mike Gross
Nilo Cruz
Reed Arvin
David Rosenfelt
Giles Blunt
Stephen Frey
Austin Clarke
Sue Henry
James W. Hall
Virginia Lanier
James Grippando
Stephen J. Cannell
Stephen Cannell
Robin  Cook
Shane And Sheridan
Jim. Screenplay Based On The B
Hugh Cook
Alien Stevens
John J. Nance
Matthew Reilly
William Kent Krueger
Michael Macdonald Mooney
Allen Drury
Michael Darkow
Maria Elena Morgan
Murray Bail
Jim Karas
Gay Hendricks
Marilyn Vos Savant
Curl
Martin V. Riccardo
Jana Marcus
Katherine Ramsland
Ruth Maran
Gail Tsukiyama
Jeanne Kalogridis
Andrew X. Pham
Catharina Day
Malika Oufkir
Michele Fitoussi
Ros Schwartz
Mckay Jenkins
Patricia Wynn
William Cohen
Theresa Foy DiGeronimo
Michael Alexander
Kjersti Hoff Baez
Ray Grigg
Peter Albano
Rod R. Butterworth
Mickey Flodin
Andrea Boeshaar
Jane Orcutt
Ashley McConnell
Margaret
Williams
Michael
Hickman
Tracy
Copyr
R.A. Salvatore
Lucretius
Ronald E. Latham
John Godwin
Horace
W. G. Shepherd
Peter Mansfield
Paul Halpern
James Lowder
John Keegan
G. Lee Bowie
Robert C. Solomon
Meredith W. Michael
Bill Pogue
Rachel Bell
Howard Peiper
David Norbrook
H. R. Woudhuysen
Alice Notley
L. E. Modesitt Jr.
Rosemary  Edmonds
Gerard Del Re
Patricia Del Re
Taisha Abelar
Carlos Casteneda
Michele Jamal
Duong Thu Huong
Phan Huy Duong
Nina McPherson
Emrys Jones
Michael Tanner
John T. Lawrence
Frederick Busch
Ian Kellam
Nien Cheng
Annie Dillard
Ann Hood
P J O'Rourke
Antonio Skarmeta
Katherine Silver
Pat Barker
Martina Devlin
Sandra Felton
Rose Marie Nichols McGee
Maggie Stuckey
Linda Yang
Alice Borchardt
Marcelle Karp
Debbie Stoller
Inga Muscio
Caroline G. Mercer
Kylie Adams
Sherryl Woods
Christie Ridgway
Patricia Cabot
Donna Gillespie
Beverly Brandt
Lori Schiller
Amanda Bennett
John Milton
Christopher Ricks
Upton Sinclair
Morris Dickstein
Matthew J. Bruccoli
Edmund Wilson
Harold M. Silverman
Henry Blackaby
Richard Blackaby
Silver RavenWolf
Merlin Stone
Matthew Ward
Christopher Hammond
John Hawkes
Lindsay Faith Rech
Steffie Hall
Elizabeth Young
Paul Rogat Loeb
Alex Kava
Alan Lightman
Josephine Tey
Todd Komarnicki
Tina Wainscott
Stephen Wright
Joanne M. Dochterman PhD  RN  FAAN
Gloria M. Bulec
Elizabeth Jolley
D. C. Brod
John R. Riggs
Gerald Petievich
Charlotte MacLeod
Jonathan Havard
Neil Shulman
Nei Shulman
Peter Bebrandt
Joseph Wambaugh
Ed Greenwood
Ursula LeGuin
Richard Hescox
Kirk Douglas
Glenn Dakin
Jeffrey Robinson
Pierre Barb�ris
Richard Bohringer
Andre� Kourkov
Nathalie Amargier
Christine Angot
Zo� Vald�s
Djian
W &amp
M Hoffer
Vitaliano Brancati
Patrick Creagh
Patrick Suskind
Susan Hubbard
Thomas Noguchi
A. Lyons
Andrea Camilleri
Stephen Sartarelli
Patrick Mccabe
J.P. Carasso
Alan Vanneman
Jean Hager
Odo Hirsch
Glen Cook
Jonathan Barry
Jim Silke
Rebecca Bradley
Terry McGarry
Mindy L. Klasky
Nancy McKenzie
Karin Lowachee
K.W. Jeter
Vivian Schilling
W. Steven Brown
Sharon Schulze
Stanley Smith
Tom Bullimore
Derrick Niederman
Hy C
Elizabeth McGregor
Ron Koertge
Miguelanxo Prado
Margaret Sayers Pe
David Calder
Stieg Retlin
Pam Munoz Ryan
Gerald L. Holmes
Tasha Tudor
Dean Hughes
Janet Quin-Harkin
Jane Harrington
Joan Aiken
Pat Marriott
Robert C. O'Brien
Zena Bernstein
Nick West
Colleen O'Shaughnessy McKenna
Katherine Coville
James Fenimore Cooper
Irene Hunt
Felice Holman
Paul O. Zelinsky
Lisa Norby
Fernado Fernandez
Rick North
Mildred D. Taylor
Robin Lawrie
Leo And Diane Dillon
Katherine Neville
Monica Hughes
Cameron Dokey
Ellen Reymes
Deborah Gregory
Eliza Willard
Andrew Matthews
Girling
Otto M. Frank
Mirjam Pressler
Susan Mas
Stedman Graham
Michel Houellebecq
Frank Wynne
Deborah Morgan
Daniel W. Patterson
Jean Ritchie
Matt Groening
Josie Lloyd
Emlyn Rees
Germaine Greer
Henry Root
Paul M. Angle
Florence Scovel-Shinn
Terry Alford
Diana Culbertson
Tim Wynne-Jones
Brian Doyle
Karleen Bradford
Martha Brooks
Diane Schoemperlen
Christina Schwarz
Molly Jong-Fast
Shirley Jackson
Rosemary Sutcliff
Julie Reece Deaver
Marilyn Butler
Andre Norton
Jacqueline Park
Lindsey Davis
Peter Tremayne
Anne Eliot Crompton
Marcus Stone
John Bowen
Jules Watson
Harris
Angela Doherty
Nicholas Guild
Kim Lewis
Frank McDonald
Dell Shannon
Rachel Billington
Iain Finlay
B. Wilson
Ashland Price
Rosemary Edghill
Emma Blair
Matthew Kneale
Marian Thurm
John Peterman
Cynthia Borris
Martin Waddell
Patrick Benson
Ole Risom
Sandra Boynton
P.D. Eastman
David Icke
Rex Gibson
N. Kantaris
P.R.M. Oliver
Dave Stern
Marge Piercy
Craig Nova
Mark Le Fanu
Ulrich Holbein
Mark Childress
Rudolf Hermstein
Gemma Alexander
Patricia Lewin
Marti Leimbach
